Type,Var,Variable,Question,Alt
QuanDiscrete,var1,img1.jpg,What is the type of variable on the X-axis?,Bar graph with days on the x axis. FTD converstion is in blue and temperature is in red. 
QuanDiscrete,var2,img2.png,What is the type of variable on the X-axis?,Bar graph with sum of two dice on the x axis and probability on the y axis.
QuanDiscrete,var3,img3.jpg,What is the type of variable on the X-axis?,Graph with days elapsed on the x axis and percent survived on the y axis. The legend is type of treament.
QuanDiscrete,var4,img4.jpg,What is the type of variable on the X-axis?,Probability Bar graph with sum of two rolls of dice on the x axis
QuanDiscrete,var5,img5.jpg,What is the type of variable on the X-axis?,Bar graph with revenue in blue and Y-o-Y Growth(%) in orange. Year is on the x axis. 
QuanDiscrete,var6,img6.jpg,What is the type of variable on the X-axis?,Bar graph with Scores (1-10) on the x axis
QuanDiscrete,var7,img7.jpg,What is the type of variable on the Y-axis?,Bar graph with height groups on the x axis and numver of students on the y axis.
QuanDiscrete,var8,img8.gif,What is the type of variable on the X-axis?,Probability Bar graph with number of orders (per week) on the x axis
QuanDiscrete,var9,img9.jpg,What is the type of variable on the Y-axis?,Bar graph with amount of pressure categories on the x axis and number of students on the y axis.
QuanDiscrete,var10,img10.gif,What is the type of variable on the X-axis?,Sideways Bar graph with number of minutes in groups on the y axis and number of students on the x axis.
QuanDiscrete,var11,img11.gif,What is the type of variable on the X-axis?,Line chart with age in years on the x axis and height on the y axis.
QuanDiscrete,var12,img12.jpg,What is the type of variable on the X-axis?,Bar graph with results (1-10) on the x axis and frequency on the y axis. 
QuanDiscrete,var13,img12.jpg,What is the type of the variable on the Y-axis?,Bar graph with results (1-10) on the x axis and frequency on the y axis. 
QuanContinuous,var14,img13.png,What is the type of variable shown in blue color?,Graph with revenue in blue and growth rate in red. 
QuanContinuous,var15,img14.png,What is the type of variable on the X and Y axes?,"Bubble chart with categories (fruit, spices, vegetables) in the legend. Sales is on the x axis and cost is on the y axis. "
QuanContinuous,var16,img15.png,What is the type of variable on the X-axis?,Dot graph with crop yield loss (0-100 scale) on the y axis and weed biomass (0-1000 scale) on the x axis
QuanContinuous,var17,img15.png,What is the type of variable on the Y-axis?,Dot graph with crop yield loss (0-100 scale) on the y axis and weed biomass (0-1000 scale) on the x axis
QuanContinuous,var18,img16.png,What is the type of variable on the X-axis?,Scatterplot with horsepower (0-500) on the x axis and weight (-6000+) on the y axis. 
